title,genre,studio,total_gross,theaters,opening_gross,open_date
American Sniper,Drama,WB,350126372,3885,633456,12/25/14
The Hunger Games: Mockingjay - Part 1,Action / Adventure,LGF,337135885,4151,121897634,11/21/14
Guardians of the Galaxy,Action / Adventure,BV,333176600,4088,94320883,8/1/14
Captain America: The Winter Soldier,Action / Adventure,BV,259766572,3938,95023721,4/4/14
The LEGO Movie,Animation,WB,257760692,3890,69050279,2/7/14
The Hobbit: The Battle of the Five Armies,Fantasy,WB (NL),255119788,3875,54724334,12/17/14
Transformers: Age of Extinction,Sci-Fi Action,Par.,245439076,4233,100038390,6/27/14
Maleficent,Fantasy,BV,241410378,3948,69431298,5/30/14
X-Men: Days of Future Past,Action / Adventure,Fox,233921534,4001,90823660,5/23/14
Big Hero 6,Animation,BV,222527828,3773,56215889,11/7/14
Dawn of the Planet of the Apes,Sci-Fi Action,Fox,208545589,3969,72611427,7/11/14
The Amazing Spider-Man 2,Action / Adventure,Sony,202853933,4324,91608337,5/2/14
Godzilla (2014),Sci-Fi Action,WB,200676069,3952,93188384,5/16/14
22 Jump Street,Action Comedy,Sony,191719337,3426,57071445,6/13/14
Teenage Mutant Ninja Turtles (2014),Action / Adventure,Par.,191204754,3980,65575105,8/8/14
Interstellar,Sci-Fi Adventure,Par.,188020017,3561,47510360,11/5/14
How to Train Your Dragon 2,Animation,Fox,177002924,4268,49451322,6/13/14
Gone Girl,Thriller,Fox,167767189,3284,37513109,10/3/14
Divergent,Action / Adventure,LG/S,150947895,3936,54607747,3/21/14
Neighbors,Comedy,Uni.,150157400,3311,49033915,5/9/14
Ride Along,Comedy,Uni.,134938200,2867,41516170,1/17/14
Rio 2,Animation,Fox,131538435,3975,39327869,4/11/14
Into the Woods,Musical,BV,128002372,2833,31051923,12/25/14
Lucy,Sci-Fi Action,Uni.,126663600,3202,43899340,7/25/14
The Fault in our Stars,Drama,Fox,124872350,3340,48002523,6/6/14
Unbroken,War Drama,Uni.,115637895,3301,30621445,12/25/14
Night at the Museum: Secret of the Tomb,Family Adventure,Fox,113746621,3914,17100520,12/19/14
Mr. Peabody & Sherman,Animation,Fox,111506430,3951,32207057,3/7/14
300: Rise of An Empire,Period Action,WB,106580051,3490,45038460,3/7/14
